ID,Route,Fix,ALL,Timebound,VFR/Prop
01,AUTMN6,LUVEC,ALL,Y,J
02,AZONE7,PITEW,ALL,N,J
03,BBKNG6,KERMI,ALL,N,J
04,BINKY6,BASBE,ALL,Y,J
05,CHLDR5,ANSWA,ALL,N,J
06,CRSON7,HUMMS,ALL,N,J
07,DUCKZ5,HELAR,ALL,N,J
08,ELVIS4,NRONE,ALL,N,P
09,ELVIS4,NTWOO,ALL,N,P
10,ELVIS4,NTREE,ALL,N,P
11,ELVIS4,NFOUR,ALL,N,P
12,ELVIS4,NFIVE,ALL,Y,P
13,ELVIS4,EONE,ALL,N,P
14,ELVIS4,ETWOO,ALL,N,P
15,ELVIS4,ETREE,ALL,N,P
16,ELVIS4,EFOUR,ALL,Y,P
17,ELVIS4,SONE,ALL,N,P
18,ELVIS4,STWOO,ALL,N,P
19,ELVIS4,STREE,ALL,Y,P
20,ELVIS4,SFOUR,ALL,Y,P
21,ELVIS4,WONE,ALL,N,P
22,ELVIS4,WTWOO,ALL,N,P
23,ELVIS4,WTREE,ALL,N,P
24,ELVIS4,WFOUR,ALL,Y,P
25,ELVIS4,WFIVE,ALL,Y,P
26,GENEH7,NUYID,ALL,Y,J
27,GMBUD7,JADET,ALL,Y,J
28,GOETZ7,DIYAB,ALL,N,J
29,GRRIZ5,MIEDZ,ALL,Y,J
30,HOTRD5,TOMKE,ALL,Y,J
31,JTEEE5,ODATE,ALL,N,J
32,NIKEI5,INAYO,ALL,Y,J
33,OLEMS6,LEYIK,ALL,Y,J
34,PIEPE6,IBUFY,ALL,N,J
35,SELPH7,OHULO,ALL,N,J
36,ZUMIT5,FOXOM,ALL,N,J
